tsp,pop_size,generations,p_crossover,p_mutation,hof_size,seed,best_distance,time_sec
att48,300,300,0.6,0.1,1,42,36193.812500,2.143
att48,300,300,0.6,0.25,1,42,37637.136719,2.121
att48,300,300,0.9,0.1,1,42,36910.703125,2.392
att48,300,300,0.9,0.25,1,42,44789.480469,2.971
att48,300,600,0.6,0.1,1,42,35994.910156,5.935
att48,300,600,0.6,0.25,1,42,37144.238281,6.224
att48,300,600,0.9,0.1,1,42,36451.707031,6.167
att48,300,600,0.9,0.25,1,42,38848.382812,6.401
att48,800,300,0.6,0.1,1,42,34991.023438,5.041
att48,800,300,0.6,0.25,1,42,35729.140625,7.857
att48,800,300,0.9,0.1,1,42,34716.429688,8.184
att48,800,300,0.9,0.25,1,42,41611.652344,9.319
att48,800,600,0.6,0.1,1,42,34796.722656,9.851
att48,800,600,0.6,0.25,1,42,35729.140625,10.320
att48,800,600,0.9,0.1,1,42,34716.429688,17.174
att48,800,600,0.9,0.25,1,42,34376.285156,13.759
